# saved 2026-06-13T21:24:08
# range_label=3mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
64.400,1783,4.52
64.500,1784,4.92
64.600,1783,4.37
64.700,1783,4.70
64.800,1783,4.79
64.900,1782,8.19
65.000,1782,4.25
65.100,1781,10.25
65.200,1782,4.36
65.300,1782,4.16
65.400,1782,5.18
65.500,1782,4.76
65.600,1782,4.37
65.700,1783,4.94
65.800,1781,4.45
65.900,1782,5.15
66.000,1781,5.48
66.100,1782,4.90
66.200,1782,4.95
66.300,1781,4.94
66.400,1781,4.77
66.500,1781,5.71
66.600,1780,5.18
66.700,1781,7.21
66.800,1780,5.70
66.900,1780,4.80
67.000,1781,5.33
67.100,1780,5.09
67.200,1780,4.98
67.300,1780,4.65
67.400,1780,5.26
67.500,1780,5.07
67.600,1780,5.28
67.700,1780,5.55
67.800,1780,5.14
67.900,1780,5.06
68.000,1780,4.61
68.100,1779,4.57
68.200,1780,4.92
68.300,1780,5.12
68.400,1780,4.99
68.500,1779,4.98
68.600,1779,4.56
68.700,1779,4.90
68.800,1779,5.16
68.900,1779,5.15
69.000,1779,5.77
69.100,1779,4.74
69.200,1779,5.03
69.300,1778,5.32
69.400,1778,5.34
69.500,1778,5.46
69.600,1779,5.66
69.700,1777,5.01
69.800,1778,5.38
69.900,1778,4.75
70.000,1778,4.49
70.100,1778,5.28
70.200,1776,7.06
70.300,1778,5.14
70.400,1777,5.13
70.500,1777,5.66
70.600,1777,5.16
70.700,1777,5.47
70.800,1777,5.28
70.900,1777,4.78
71.000,1777,4.85
71.100,1777,4.87
71.200,1776,11.03
71.300,1776,7.01
71.400,1775,4.74
71.500,1777,5.13
71.600,1776,4.89
71.700,1776,4.90
71.800,1776,4.77
71.900,1775,5.20
72.000,1776,4.98
72.100,1776,4.99
72.200,1776,6.36
72.300,1776,5.05
72.400,1776,4.78
72.500,1776,4.96
72.600,1776,6.81
72.700,1776,5.04
72.800,1776,5.93
72.900,1776,4.72
73.000,1775,4.99
73.100,1775,4.79
73.200,1775,5.37
73.300,1775,5.21
73.400,1775,5.00
