# saved 2026-06-13T19:08:15
# range_label=div1p5_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
62.200,1714,5.93
62.300,1714,6.06
62.400,1715,5.84
62.500,1715,6.13
62.600,1715,5.81
62.700,1715,5.83
62.800,1716,6.02
62.900,1715,6.40
63.000,1716,5.70
63.100,1716,5.88
63.200,1715,5.45
63.300,1715,5.75
63.400,1715,6.09
63.500,1715,5.91
63.600,1715,6.23
63.700,1715,5.79
63.800,1715,5.51
63.900,1715,5.83
64.000,1714,5.93
64.100,1715,5.46
64.200,1715,5.88
64.300,1715,5.14
64.400,1715,6.20
64.500,1714,5.31
64.600,1715,5.90
64.700,1715,6.39
64.800,1715,6.23
64.900,1715,5.99
65.000,1715,8.71
65.100,1715,5.86
65.200,1715,6.00
65.300,1715,8.34
65.400,1715,6.70
65.500,1715,5.62
65.600,1714,5.37
65.700,1715,6.08
65.800,1714,5.49
65.900,1714,6.36
66.000,1714,5.97
66.100,1714,6.19
66.200,1714,6.08
66.300,1715,6.08
66.400,1715,6.02
66.500,1714,6.10
66.600,1713,6.25
66.700,1714,6.19
66.800,1714,6.16
66.900,1713,7.49
67.000,1714,5.97
67.100,1714,5.50
67.200,1715,5.43
67.300,1714,5.74
67.400,1713,8.31
67.500,1714,5.65
67.600,1714,5.62
67.700,1715,8.02
67.800,1715,6.33
67.900,1714,5.48
68.000,1714,5.83
68.100,1714,5.47
68.200,1713,6.40
68.300,1713,8.03
68.400,1714,5.21
68.500,1714,5.98
68.600,1715,6.86
68.700,1715,6.30
68.800,1715,6.62
68.900,1714,5.60
69.000,1715,7.40
69.100,1714,6.22
69.200,1714,6.05
69.300,1715,6.01
69.400,1714,5.97
69.500,1714,5.97
69.600,1714,5.39
69.700,1715,5.99
69.800,1715,6.07
69.900,1715,5.73
70.000,1715,5.71
70.100,1715,5.58
70.200,1714,5.66
70.300,1716,5.86
70.400,1714,5.74
70.500,1715,5.62
70.600,1715,5.55
70.700,1715,5.76
70.800,1714,6.38
70.900,1715,5.94
71.000,1715,5.71
71.100,1715,5.47
71.200,1714,5.94
71.300,1715,5.61
71.400,1715,6.17
71.500,1715,5.13
71.600,1714,8.60
71.700,1715,5.84
71.800,1715,5.91
71.900,1715,5.90
72.000,1715,6.48
72.100,1715,6.01
72.200,1714,5.24
72.300,1715,6.08
72.400,1715,5.78
72.500,1715,5.77
72.600,1715,5.13
72.700,1715,5.81
72.800,1714,5.42
72.900,1714,5.54
73.000,1715,5.50
73.100,1714,5.73
73.200,1715,5.69
73.300,1714,5.34
73.400,1715,6.41
73.500,1715,5.76
73.600,1716,5.80
73.700,1715,5.67
73.800,1715,6.83
73.900,1715,6.26
74.000,1714,6.39
74.100,1714,5.81
74.200,1714,5.86
74.300,1714,6.10
74.400,1715,5.53
74.500,1714,5.28
74.600,1714,6.00
74.700,1714,8.69
74.800,1715,5.97
74.900,1715,5.89
75.000,1714,5.63
75.100,1715,6.30
75.200,1713,6.60
75.300,1715,4.81
75.400,1714,5.78
75.500,1715,6.03
75.600,1714,6.24
75.700,1715,5.60
75.800,1715,5.78
75.900,1715,5.58
76.000,1715,9.38
76.100,1715,5.93
76.200,1715,6.13
76.300,1713,7.03
76.400,1715,5.85
76.500,1715,5.81
76.600,1715,5.79
76.700,1714,5.79
76.800,1714,8.42
76.900,1714,5.93
77.000,1714,5.95
77.100,1714,6.39
77.200,1714,5.39
77.300,1715,5.77
77.400,1714,5.53
77.500,1713,5.62
77.600,1715,6.07
77.700,1714,5.89
77.800,1714,5.64
77.900,1714,5.69
78.000,1715,5.55
78.100,1714,5.85
78.200,1714,6.07
78.300,1715,5.66
78.400,1714,6.68
78.500,1715,6.44
78.600,1714,5.58
78.700,1715,5.40
78.800,1714,6.12
78.900,1715,5.28
79.000,1715,5.79
79.100,1714,6.19
79.200,1714,6.10
79.300,1714,5.87
79.400,1714,6.04
79.500,1715,5.75
79.600,1715,5.91
79.700,1714,8.66
79.800,1714,5.91
79.900,1715,5.67
80.000,1714,5.35
80.100,1714,5.90
80.200,1715,5.54
80.300,1714,5.62
80.400,1715,6.13
80.500,1714,5.50
80.600,1715,7.94
80.700,1715,5.77
80.800,1714,5.63
80.900,1714,5.65
81.000,1715,6.14
81.100,1714,5.82
81.200,1713,6.53
81.300,1714,6.02
81.400,1715,5.92
81.500,1714,5.54
81.600,1714,5.73
81.700,1714,5.78
81.800,1715,5.46
81.900,1715,5.43
82.000,1714,5.43
82.100,1715,5.75
82.200,1714,6.12
82.300,1715,5.69
82.400,1715,5.70
82.500,1715,5.81
82.600,1713,6.19
82.700,1714,5.61
82.800,1714,5.51
82.900,1714,6.11
83.000,1714,5.40
83.100,1714,5.53
83.200,1714,6.64
83.300,1715,6.11
83.400,1715,6.06
83.500,1715,5.83
83.600,1715,7.11
83.700,1715,5.37
83.800,1715,6.06
83.900,1714,5.76
84.000,1715,5.99
84.100,1715,5.80
84.200,1714,6.74
84.300,1714,7.31
84.400,1713,9.51
84.500,1715,5.70
84.600,1713,5.53
84.700,1714,8.42
84.800,1714,6.59
84.900,1714,6.50
85.000,1714,6.72
85.100,1714,7.06
85.200,1714,5.69
85.300,1715,6.29
85.400,1713,5.45
85.500,1713,5.78
85.600,1715,6.48
85.700,1715,5.59
85.800,1715,6.18
85.900,1714,5.80
86.000,1715,5.80
86.100,1714,5.67
86.200,1716,6.26
86.300,1715,5.93
86.400,1714,7.33
86.500,1715,5.66
86.600,1714,6.07
86.700,1714,8.03
86.800,1714,5.45
86.900,1715,5.83
87.000,1715,6.26
87.100,1714,5.90
87.200,1716,7.90
87.300,1715,5.80
87.400,1715,5.78
87.500,1715,6.34
87.600,1714,6.55
87.700,1715,6.43
87.800,1715,6.11
87.900,1714,5.73
88.000,1714,8.25
88.100,1715,5.61
88.200,1715,5.97
88.300,1715,5.80
88.400,1715,8.86
88.500,1716,6.46
88.600,1714,5.84
88.700,1714,5.55
88.800,1715,5.98
88.900,1715,7.50
89.000,1714,5.58
89.100,1715,5.91
89.200,1715,7.64
89.300,1713,7.20
89.400,1715,5.44
89.500,1714,6.84
89.600,1714,5.56
89.700,1715,5.93
89.800,1714,5.46
89.900,1715,5.70
90.000,1715,5.34
90.100,1715,5.53
90.200,1714,5.89
90.300,1715,6.13
90.400,1715,6.08
90.500,1714,5.66
90.600,1715,5.88
90.700,1714,8.49
90.800,1714,6.20
90.900,1714,5.76
91.000,1714,5.85
91.100,1715,6.04
91.200,1715,6.09
91.300,1715,5.99
91.400,1715,5.72
91.500,1715,6.04
91.600,1714,6.20
91.700,1715,5.77
91.800,1715,5.69
91.900,1715,5.76
92.000,1715,6.49
92.100,1714,5.62
92.200,1716,6.83
92.300,1715,5.42
92.400,1714,5.47
92.500,1715,5.96
92.600,1714,8.49
92.700,1715,5.87
92.800,1714,5.12
92.900,1714,9.04
93.000,1714,5.76
93.100,1715,5.78
93.200,1714,5.52
93.300,1714,5.58
93.400,1715,5.17
93.500,1715,5.58
93.600,1714,5.51
93.700,1715,5.44
93.800,1715,5.63
93.900,1715,8.49
94.000,1715,6.45
94.100,1715,6.27
94.200,1715,5.84
94.300,1714,9.45
94.400,1715,5.50
94.500,1715,7.29
94.600,1714,5.02
94.700,1715,5.82
94.800,1714,5.75
94.900,1714,5.63
95.000,1714,5.87
95.100,1715,6.69
95.200,1715,6.09
95.300,1715,6.03
95.400,1715,5.73
95.500,1714,6.28
95.600,1714,5.57
95.700,1715,6.13
95.800,1714,5.82
95.900,1714,5.83
96.000,1714,8.71
96.100,1714,5.83
96.200,1715,6.97
96.300,1714,5.97
96.400,1714,6.41
96.500,1714,6.35
96.600,1715,5.79
96.700,1714,5.55
96.800,1715,5.24
96.900,1714,5.92
97.000,1714,6.31
97.100,1714,9.29
97.200,1714,5.86
97.300,1715,6.56
97.400,1715,5.91
97.500,1714,5.46
97.600,1714,7.39
97.700,1714,5.81
97.800,1714,6.18
97.900,1715,7.27
98.000,1714,5.39
98.100,1715,7.03
98.200,1714,5.73
98.300,1714,5.98
98.400,1714,6.96
98.500,1714,5.96
98.600,1715,5.99
98.700,1714,5.94
98.800,1714,5.83
98.900,1715,5.70
99.000,1713,5.34
99.100,1715,5.48
99.200,1713,5.68
99.300,1714,5.86
99.400,1715,5.59
99.500,1714,5.97
99.600,1715,5.15
99.700,1714,5.56
99.800,1714,5.40
99.900,1714,5.20
100.000,1714,5.70
