# saved 2026-06-13T19:31:51
# range_label=div2_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
86.500,1287,5.05
86.600,1288,5.49
86.700,1287,5.40
86.800,1287,5.44
86.900,1287,5.06
87.000,1287,6.17
87.100,1287,5.07
87.200,1287,6.59
87.300,1288,5.47
87.400,1288,5.22
87.500,1287,7.40
87.600,1287,7.01
87.700,1287,5.41
87.800,1287,5.21
87.900,1287,5.15
88.000,1286,5.07
88.100,1287,5.50
88.200,1287,6.63
88.300,1286,5.36
88.400,1288,6.98
88.500,1286,15.80
88.600,1286,17.44
88.700,1288,5.21
88.800,1286,13.18
88.900,1287,6.68
89.000,1287,6.06
89.100,1287,7.77
89.200,1287,5.40
89.300,1288,5.05
89.400,1287,9.21
89.500,1287,9.72
89.600,1287,6.35
89.700,1287,6.73
89.800,1287,5.28
89.900,1287,5.08
90.000,1287,4.91
90.100,1288,5.70
90.200,1287,5.34
90.300,1287,5.91
90.400,1288,5.56
90.500,1287,4.89
90.600,1287,5.99
90.700,1288,5.78
90.800,1287,5.50
90.900,1287,5.79
91.000,1286,8.53
91.100,1286,19.08
91.200,1287,5.05
91.300,1287,4.98
91.400,1287,6.09
91.500,1287,6.35
91.600,1287,4.83
91.700,1288,6.14
91.800,1287,11.92
91.900,1287,6.60
92.000,1287,9.02
92.100,1287,4.87
92.200,1287,5.04
92.300,1287,5.67
92.400,1288,4.68
92.500,1287,5.26
92.600,1288,9.83
92.700,1287,4.79
92.800,1288,6.02
92.900,1287,5.56
93.000,1287,6.28
93.100,1287,5.96
93.200,1287,5.96
93.300,1287,5.18
93.400,1287,7.82
93.500,1287,5.19
93.600,1286,5.09
93.700,1287,5.23
93.800,1287,7.20
93.900,1288,8.50
94.000,1286,11.11
94.100,1287,6.19
94.200,1287,6.37
94.300,1288,6.69
94.400,1286,11.07
94.500,1287,5.85
94.600,1288,7.27
94.700,1287,6.45
94.800,1287,4.88
94.900,1287,5.20
95.000,1288,8.48
95.100,1287,4.90
95.200,1288,4.99
95.300,1287,5.11
95.400,1287,6.50
95.500,1287,5.01
95.600,1287,4.80
95.700,1287,4.76
95.800,1287,5.47
95.900,1286,5.86
96.000,1287,5.80
96.100,1288,5.26
96.200,1287,7.00
96.300,1287,5.45
96.400,1288,11.42
96.500,1287,5.50
96.600,1287,5.35
96.700,1287,5.35
96.800,1286,5.73
96.900,1287,4.85
97.000,1287,4.96
97.100,1287,5.09
97.200,1287,8.76
97.300,1286,14.57
97.400,1287,5.51
97.500,1288,7.12
97.600,1287,5.66
97.700,1288,5.48
97.800,1288,6.08
97.900,1287,6.11
98.000,1287,6.04
98.100,1287,5.01
98.200,1287,5.19
98.300,1287,6.07
98.400,1287,11.68
98.500,1287,5.34
98.600,1287,4.94
98.700,1287,6.09
98.800,1287,6.66
98.900,1287,5.06
99.000,1287,5.97
99.100,1286,11.48
99.200,1286,6.63
99.300,1287,5.03
99.400,1286,6.66
99.500,1286,20.00
99.600,1287,5.38
99.700,1286,4.55
99.800,1287,5.87
99.900,1287,4.69
100.000,1287,7.32
